from,to,text,time_start,time_end,comment
F1-1,MEX207,midex two oh seven is six miles from ripit maintain at or above two thousand til established on the localizer cleared i l s d m e runway two seven approach,3712.47,3719.2,
MEX207,F1-1,two thousand or above to ripit cleared for the i l s d m e two seven midex two oh seven,3719.56,3720.7,
COA316,F1-1,approach continental three sixteen out of six for five,3725.21,3728.15,
F1-1,COA316,continental three sixteen boston approach thank you,3729.49,3731.81,
F1-1,MEX207,midex two oh seven speed ah one nine zero or greater to ripit please,3732.21,3735.46,
F1-1,MEX207,thank you,3738.59,3739.13,
F1-1,NAE945,eagle nine forty five do you have runway two two left in sight,3742.39,3744.68,
F1-1,NAE945,thanks eagle nine forty five cleared visual approach runway two two left hold short of runway two seven,3746.78,3750.61,
F1-1,GAA702,bizex seven oh two boston approach thank you,3759.4,3761.31,
F1-1,USA1286,u s air twelve eighty six ah good rate to three thousand please for traffic turn right heading one seven zero,3763.34,3768.55,
USA1286,F1-1,o k hurry to three one seventy on the heading u s air twelve eighty six,3769.03,3772.37,
F1-1,GAA548,bizex five forty eight turn left heading two seven zero intercept the localizer,3772.32,3775.58,
GAA548,F1-1,two seven zero intercept localizer five forty eight,3775.8,3778.01,
F1-1,MEX207,midex two oh seven traffic landing runway two two left will hold short of your runway contact tower one one niner point one,3778.22,3783.26,
MEX207,F1-1,nineteen one thank you midex two oh seven,3783.29,3785.14,
F1-1,USA1286,u s air twelve eighty six when able reduce speed to one seventy,3787.83,3791.21,
USA1286,F1-1,hundred and seventy knots u s air twelve eighty six,3792.22,3794.31,
F1-1,NAE945,eagle nine forty five if practical ah turn in towards the airport now traffic to follow,3796.67,3801.49,
F1-1,NAE945,thanks,3803.17,3803.72,
USA1286,F1-1,two fifty on a heading ah two thousand til established cleared the i l s d m e two seven u s air twelve eighty six,3826.78,3832.87,
F1-1,USA1286,thanks,3832.91,3833.23,
F1-1,GAA548,bizex five forty eight two miles from loner cross loner three thousand or above cleared i l s d m e runway two seven approach,3834.0,3839.89,
GAA548,F1-1,five forty eight ah three at loner and ah cleared for the approach,3839.92,3843.66,
F1-1,NAE945,eagle nine forty five contact tower one one niner point one,3843.98,3846.8,
F1-1,COA316,continental three sixteen turn left heading three five zero,3850.6,3853.4,
USA772,F1-1,seven seven two five thousand,3854.82,3856.36,u s air seven seventy two started transmitting before continental three sixteen finished
F1-1,USA772,u s air seven seventy two boston fly heading zero three zero reduce speed to two one zero,3857.63,3861.65,
USA772,F1-1,zero three zero slow to two ten,3861.94,3863.74,
GAA702,F1-1,bizex seven oh two has the short,3864.57,3866.1,
F1-1,GAA702,bizex seven oh two cleared visual approach runway two two left follow the short and speed one seventy to five d m e,3866.13,3871.61,
GAA702,F1-1,k cleared for the visual one seventy bizex seven oh two,3871.72,3874.49,
GAA702,F1-1,bizex seven oh two roger,3878.62,3880.13,
F1-1,GAA702,thanks,3880.12,3880.6,
F1-1,COA316,continental three sixteen descend and maintain four thousand then reduce speed to one nine zero,3881.24,3884.97,
COA316,F1-1,down to four and one ninety three sixteen,3885.23,3887.45,
F1-1,USA1286,u s air twelve eighty six thanks for your help all traffic landing runway two two left will hold short of your runway contact tower one one niner point one,3887.89,3893.99,
USA1286,F1-1,one nineteen one good day,3894.06,3895.5,
F1-1,GAA548,bizex five forty eight reduce speed to one seven zero to ripit traffic landing runway two two left will hold short of your runway,3895.56,3900.76,
GAA548,F1-1,one seventy to ripit five forty eight,3900.8,3902.48,
F1-1,USA772,u s air seven seventy two turn left heading three six zero,3903.93,3906.67,
USA772,F1-1,left to three six zero u s seven seven two,3907.22,3909.49,
ACA810,F1-1,boston approach air canada eight ten with you just out of six point five for six with november,3911.49,3915.94,
F1-1,ACA810,air canada eight ten boston approach thanks fly present heading,3915.92,3918.58,
ACA810,F1-1,roger,3918.57,3919.16,
F1-1,GAA548,bizex five forty eight contact tower one one niner point one,3924.13,3926.98,
GAA548,F1-1,nineteen one five four eight good night,3926.92,3928.57,
F1-1,GAA548,night,3928.58,3929.02,
F1-1,COA316,continental three sixteen turn left heading two nine zero intercept the localizer descend and maintain three thousand,3929.17,3933.56,
F1-1,GAA702,bizex seven oh two contact tower one one niner point one good night,3938.15,3941.06,
GAA702,F1-1,nineteen one good night sir,3941.16,3942.5,
F1-1,COA316,continental three sixteen is three and a half from loner heading two nine zero cross loner three thousand or above cleared i l s d m e runway two seven approach ah present speed,3949.48,3957.2,
COA316,F1-1,loner three thousand or above cleared for the approach three sixteen,3957.76,3960.88,
F1-1,USA772,u s air seven seventy two descend and maintain three thousand,3961.82,3964.44,
USA772,F1-1,five for three seven seven two,3965.52,3967.27,
GAA504,F1-1,afternoon boston bizex five oh four with you four point five field in sight,3976.51,3980.67,
GAA504,F1-1,ten left,3999.1,3999.67,
F1-1,GAA504,the other one sounds ah like a garbled barrel,4000.3,4002.43,
GAA504,F1-1,yeah these shorts are getting beat up this summer,4002.65,4004.56,
F1-1,GAA504,i hear you,4004.59,4005.25,
F1-1,COA316,continental three sixteen speed one nine zero or greater please to ripit and traffic landing runway two two left will hold short of your runway,4007.2,4012.71,
COA316,F1-1,three sixteen,4012.99,4014.07,
F1-1,USA772,u s air seven seventy two turn left heading three zero zero intercept the localizer,4014.48,4017.87,
USA772,F1-1,three hundred for the localizer seven seven two,4020.02,4022.46,
F1-1,ACA810,air canada eight ten speed two one zero then descend and maintain five thousand,4022.58,4025.97,
F1-1,GAA504,bizex five oh four descend and maintain two thousand,4038.0,4040.18,
GAA504,F1-1,down to two,4040.35,4040.91,
F1-1,USA772,u s air seven seventy two is three miles from loner heading two nine zero cross loner at three thousand cleared i l s d m e runway two seven approach speed two one zero,4047.8,4054.98,
USA772,F1-1,loner at three cleared for the approach two ten the speed seven seventy two,4055.66,4058.86,
F1-1,ACA810,air canada eight ten turn left heading zero nine zero,4058.89,4061.13,
ACA810,F1-1,zero nine zero air canada eight ten,4061.39,4062.96,
GAA504,F1-1,five oh four has got the traffic,4064.02,4065.6,
F1-1,GAA504,bizex five oh four follow the saab then descend your discretion enter ah right base runway two two left hold short of runway two seven,4065.54,4072.01,
GAA504,F1-1,o k if you want us to short of two seven can we ah take it out about another mile or so,4072.2,4075.68,
GAA504,F1-1,okie doke,4078.26,4078.74,
NWA48,F1-1,boston northwest ah forty eight heavy passing seven thousand six hundred for six thousand with november,4086.34,4092.33,
F1-1,NWA48,northwest forty eight heavy boston approach thank you fly present heading,4092.29,4095.05,
BAW215,F1-1,boston approach good afternoon this is speed bird two fifteen heavy on a heading of two five zero to pick up the two seven localizer passing eight thousand for six thousand,4097.03,4104.53,
F1-1,BAW215,speed bird two fifteen heavy boston thank you,4104.51,4106.6,
F1-1,COA316,continental three sixteen contact tower one one niner point one,4106.88,4109.64,
NERA3707,F1-1,good afternoon boston approach ah nera thirty seven oh seven is with you out of six for four thousand,4116.18,4120.5,
F1-1,NERA3707,nera thirty seven oh seven boston thanks intercept the loc two two left localizer,4120.52,4123.92,
F1-1,NERA3707,thank you,4127.06,4127.7,
PCN3574,F1-1,boston approach precision thirty five seventy four descending to four thousand,4128.57,4132.6,
F1-1,PCN3574,precision thirty five seventy four boston approach thank you fly heading of ah one zero zero,4132.52,4136.52,
PCN3574,F1-1,one zero zero precision thirty five seventy four,4136.64,4139.22,
F1-1,COA316,continental three sixteen tower one one niner point one,4139.2,4141.52,
F1-1,USA772,u s air seven seven two reduce speed now to one seven zero to ripit traffic landing runway two two left will hold short of your runway,4143.18,4148.77,
USA772,F1-1,seven seventy two,4148.77,4149.99,
F1-1,ACA810,air canada eight ten descend and maintain three thousand and turn right heading one eight zero,4149.9,4153.71,
ACA810,F1-1,one eight zero on the heading down to three thousand air canada eight ten,4153.73,4156.5,
F1-1,GAA504,bizex five oh four thanks for your help contact tower one one niner point one,4156.48,4159.61,
GAA504,F1-1,nineteen one five oh four good day,4159.65,4161.71,
F1-1,NWA48,northwest forty eight heavy reduce speed to two one zero then descend and maintain four thousand,4161.93,4165.52,
NWA48,F1-1,slow to two ten and then down to four thousand northwest forty eight heavy,4166.01,4169.58,
F1-1,USA772,u s air seven seventy two contact tower one one niner point one good day,4169.57,4172.47,
USA772,F1-1,so long,4172.48,4172.97,
F1-1,BAW215,speed bird two fifteen heavy thanks say speed,4176.43,4178.39,
BAW215,F1-1,speed is two ten,4179.1,4180.98,
F1-1,BAW215,roger,4181.07,4181.47,
BAW215,F1-1,and speed bird two fifteen are we cleared for the i l s,4186.0,4188.56,
BAW215,F1-1,descend maintain five thousand speed bird two fifteen,4193.5,4196.15,
F1-1,ACA810,air canada eight ten descend and maintain two thousand,4200.18,4202.49,
F1-1,PCN3574,precision thirty five seventy four turn right heading one one zero,4220.44,4223.48,
PCN3574,F1-1,one one zero precision thirty five seventy four,4223.63,4226.03,
BAW215,F1-1,roger maintain two ten cross loner at three thousand and cleared for the i l s approach speed bird two fifteen,4250.44,4256.74,
F1-1,BAW215,thank you sir,4256.86,4257.6,
F1-1,NWA48,northwest forty eight heavy turn left heading zero niner zero when able reduce speed to one nine zero,4258.02,4262.4,
NWA48,F1-1,left zero nine zero and ah down to one ninety when able northwest ah forty eight heavy,4263.01,4267.56,
F1-1,PCN3574,precision thirty five seventy four descend and maintain two thousand,4267.53,4270.14,
PCN3574,F1-1,two thousand two two left in sight thirty five seventy four,4270.41,4273.38,
F1-1,PCN3574,precision thirty five seventy four is cleared visual approach runway two two left hold short of runway two seven,4273.41,4277.87,
PCN3574,F1-1,cleared visual two two left to hold short of two seven precision thirty five seventy four,4278.22,4281.39,
F1-1,ACA810,air canada eight ten traffic landing runway two two left will hold short of your runway speed your discretion contact tower one one niner point one,4281.38,4287.82,
ACA810,F1-1,nineteen one air canada eight ten so long,4287.85,4290.12,
F1-1,ACA810,so long,4290.07,4290.58,
F1-1,NERA3707,nera thirty seven oh seven is four miles from wayne cross wayne at three thousand or above cleared i l s runway two two left approach hold short of runway two seven,4291.29,4298.91,
F1-1,NERA3707,thanks,4305.98,4306.45,
NWA48,F1-1,northwest forty eight heavy,4316.36,4317.37,
F1-1,BAW215,speed bird two fifteen heavy traffic landing runway two two left will hold short of your runway,4320.04,4324.06,
BAW215,F1-1,speed bird two fifteen roger,4324.99,4326.38,
F1-1,PCN3574,precision thirty five seventy four speed not less than one seven zero til five out contact tower one one niner point one,4328.48,4333.94,
PCN3574,F1-1,nineteen one precision thirty five seventy four,4334.47,4336.72,
F1-1,PCN3574,so long,4336.73,4337.24,
F1-1,NWA48,northwest forty eight heavy turn right heading one eight zero,4337.58,4339.9,
NWA48,F1-1,right one eight zero northwest forty eight heavy,4340.59,4342.67,
F1-1,NERA3707,nera thirty seven oh seven reduce speed to one seven zero,4345.9,4348.92,
NERA3707,F1-1,already back to one seventy nera thirty seven oh seven,4348.99,4351.56,
NERA3707,F1-1,ah one fifty for thirty seven oh seven we can do that,4356.69,4359.17,
F1-1,NERA3707,o k great speed one five zero then to five d m e,4359.27,4361.79,
NERA3707,F1-1,o k,4362.22,4362.65,
NERA3707,F1-1,roger thirty seven oh seven,4367.66,4369.03,
F1-1,BAW215,speed bird two fifteen heavy speed one nine zero or greater please to ripit,4373.84,4377.19,
BAW215,F1-1,one ninety or greater to ripit speed bird ah two fifteen,4377.71,4381.18,
F1-1,NWA48,northwest forty eight heavy descend and maintain three thousand,4381.14,4383.65,
NWA48,F1-1,down to three thousand northwest forty eight heavy,4384.13,4385.96,
F1-1,ARN856,air nova eight fifty six with me,4386.78,4388.24,
F1-1,NERA3707,nera thirty seven oh seven contact tower one one niner point one have a nice night folks,4390.87,4394.9,
NERA3707,F1-1,o k one one nine point one ah thirty seven oh seven you have a good night see you,4395.19,4398.89,
F1-1,NERA3707,thanks,4399.11,4399.52,
F1-1,NWA48,northwest forty eight heavy is two miles from loner turn right heading two six zero cross loner at three thousand cleared i l s d m e runway two seven approach speed one nine zero,4413.15,4421.41,
NWA48,F1-1,right two six zero ah cross loner at three thousand ah hundred and ninety knots northwest ah forty eight heavy,4422.07,4429.0,
F1-1,BAW215,speed bird two fifteen heavy contact tower one one niner point one good day,4434.46,4437.64,
BAW215,F1-1,one one nine one speed bird two fifteen bye,4437.84,4439.91,
F1-1,ARN856,air nova eight five six boston approach good evening maintain present speed descend and maintain four thousand,4443.82,4448.46,
ARN856,F1-1,eight five six check,4458.45,4459.48,
F1-1,NWA48,northwest forty eight heavy traffic landing runway two two left will hold short of your runway,4463.82,4467.39,
NWA48,F1-1,northwest forty eight heavy,4468.64,4469.8,
F1-1,NWA48,northwest forty eight heavy reduce speed to one seven zero to ripit now contact the tower one one niner point one,4500.68,4505.46,
NWA48,F1-1,one nine point one ah one seventy to ripit northwest forty eight heavy,4506.13,4509.35,
F1-1,ARN856,air nova eight fifty six when able reduce speed to one nine zero,4509.54,4512.61,
UAL294,F1-1,evening boston united two ninety four is at six thousand,4538.73,4541.43,
F1-1,UAL294,united two ninety four boston approach thank you fly present heading and reduce speed to two one zero,4541.69,4546.58,
UAL294,F1-1,will fly the present heading and bring it back to two ten united two ninety four,4546.64,4550.1,
NERA3769,F1-1,nera thirty seven sixty nine descending to four,4551.37,4553.89,
F1-1,ARN856,air nova eight fifty six is three miles from loner cross loner at three thousand or above cleared i l s d m e runway two seven approach,4554.34,4560.37,
ARN856,F1-1,loner at three thousand or above cleared for the i l s twenty seven,4560.72,4564.05,
F1-1,NERA3769,nera thirty seven sixty nine boston approach fly heading one six zero,4564.32,4567.67,
NERA3769,F1-1,one six zero thirty seven sixty nine,4568.12,4570.17,
PXX792,F1-1,hello boston approach pan am seven ninety two five thousand zero three zero,4573.52,4577.2,
F1-1,PXX792,pan am seven ninety two boston approach fly heading zero two zero,4577.22,4580.19,
PXX792,F1-1,zero two zero seven ninety two,4580.5,4582.87,
F1-1,ARN856,air nova eight fifty six reduce speed to one seven zero to ripit,4584.53,4587.47,
F1-1,ARN856,yes sir make that one seven zero please to ripit,4590.92,4593.12,
F1-1,ARN856,thank you,4596.21,4596.76,
F1-1,PXX792,pan am seven ninety two descend and maintain two thousand do you have runway two two left in sight,4610.57,4614.29,
PXX792,F1-1,affirmative and down to two thousand pan am seven ninety two,4615.09,4618.14,
F1-1,PXX792,pan am seven ninety two is cleared visual approach runway two two left hold short of two seven,4618.05,4621.95,
PXX792,F1-1,cleared for visual two two left hold short of two seven pan am seven ninety two,4622.24,4625.81,
F1-1,PXX792,thanks,4625.92,4626.37,
F1-1,ARN856,and air nova eight fifty six reduce speed to one five zero now,4626.65,4629.45,
F1-1,UAL294,united two ninety four turn left heading zero nine zero,4634.94,4637.52,
F1-1,ARN856,air nova eight fifty six traffic landing runway two two left will hold short of your runway,4644.02,4647.97,
F1-1,UAL294,united two ninety four descend and maintain three thousand,4652.45,4654.74,
F1-1,ARN856,air nova eight fifty six speed one fifty to ripit contact tower one one niner point one,4676.32,4680.45,
ARN856,F1-1,one nineteen one speed one fifty to rip,4681.01,4683.66,
F1-1,GAA333,bizex triple three boston approach thank you fly heading one six zero,4695.15,4698.17,
GAA333,F1-1,one six zero roger,4699.45,4700.83,
F1-1,UAL294,united two ninety four three thousand reduce speed to one nine zero,4702.58,4705.42,
UAL294,F1-1,one ninety the speed at three thousand,4705.86,4707.78,
NWA34,F1-1,boston approach northwest thirty four heavy leveling five,4718.54,4721.47,
F1-1,NWA34,northwest thirty four heavy boston thanks maintain present speed heading zero one zero,4721.67,4725.16,
F1-1,PXX792,pan am seven ninety two contact tower one one niner point one,4727.38,4730.11,
PXX792,F1-1,over to the tower talk to you later pan am seven ninety two,4730.34,4732.64,
F1-1,NERA3769,nera thirty seven sixty nine turn right heading one eight zero,4732.63,4735.05,
NERA3769,F1-1,right one eighty nera thirty seven sixty nine,4735.34,4737.4,
F1-1,UAL294,united two ninety four turn right heading one eight zero,4748.52,4750.8,
PCN3513,F1-1,boston precision thirty five thirteen in descent to four thousand joining the localizer,4759.59,4763.36,
PCN3513,F1-1,roger,4770.2,4770.73,
F1-1,UAL294,united two ninety four descend and maintain two thousand,4772.52,4774.73,
UAL294,F1-1,down to two thousand united two ninety four,4774.93,4776.71,
F1-1,NWA34,northwest thirty four heavy fly heading three five zero,4776.65,4778.73,
NWA34,F1-1,three fifty northwest thirty four heavy,4779.74,4781.46,
USA1226,F1-1,o k no joy in the haze,4799.51,4800.9,
F1-1,NERA3769,nera thirty seven sixty nine descend and maintain three thousand advise two two left in sight,4805.57,4809.01,
NERA3769,F1-1,down to three looking for the runway thirty seven sixty nine,4809.61,4812.14,
F1-1,NWA34,northwest thirty four heavy descend and maintain three thousand,4824.28,4826.38,
NWA34,F1-1,out of five for three northwest thirty four heavy,4827.85,4830.24,
DAL210,F1-1,evening approach delta two ten heavy descending to five thousand,4833.38,4836.68,
USA1226,F1-1,three fifty u s air twelve twenty six,4840.76,4842.59,
F1-1,GAA333,bizex triple three turn right heading one eight zero,4851.43,4853.33,
F1-1,UAL294,united two ninety four traffic landing two two left to hold short of your runway no less than a hundred and seventy to ripit please contact the tower one one niner point one,4857.01,4863.08,
USA190,F1-1,u s air one ninety is two hundred ten knots and coming up on five thousand,4867.69,4874.21,
DAL210,F1-1,left three five zero delta two ten heavy,4878.9,4880.74,
F1-1,USA1226,u s air twelve twenty six descend and maintain three thousand,4880.73,4883.16,
USA1226,F1-1,three thousand u s air twelve twenty six,4883.5,4885.59,
F1-1,GAA333,bizex triple three descend and maintain three thousand,4886.73,4888.89,
GAA333,F1-1,triple three down to three thousand,4889.23,4890.62,
F1-1,NERA3769,nera thirty seven sixty nine descend and maintain two thousand,4890.63,4892.91,
NERA3769,F1-1,down to two thirty seven sixty nine,4893.33,4895.07,
F1-1,NERA3769,do you have it in sight yet sir,4895.55,4896.67,
F1-1,PCN3513,precision thirty five thirteen reduce speed to one seven zero,4903.96,4906.43,
PCN3513,F1-1,slow to one seven zero precision thirty five thirteen,4906.45,4908.5,
F1-1,NERA3769,nera thirty seven sixty nine cleared visual approach runway two two left hold short of two seven contact the tower one one niner point one,4921.78,4926.54,
F1-1,USA190,u s air one ninety turn left heading ah three six zero,4929.35,4931.59,
USA190,F1-1,left three sixty u s air one ninety,4931.61,4933.44,
F1-1,DAL210,delta two ten heavy descend and maintain four thousand,4943.11,4945.44,
DAL210,F1-1,continue to four thousand delta two ten heavy,4945.54,4947.68,
F1-1,NWA34,northwest thirty four heavy i was way late in that turn turn left heading two four zero and intercept the localizer from the north side,4947.67,4952.27,
F1-1,PCN3513,precision thirty five thirteen descend and maintain three thousand,4956.51,4959.12,
PCN3513,F1-1,four for three thousand precision thirty five thirteen,4959.17,4961.4,
PCN3570,F1-1,precision thirty five seventy five thousand,4963.44,4965.77,
F1-1,PCN3570,precision thirty five seventy boston approach thank you,4966.02,4967.86,
GAA333,F1-1,triple three roger,4975.4,4976.42,
DAL210,F1-1,left three one zero delta two ten heavy,4978.69,4980.25,
F1-1,DAL210,thanks,4980.25,4980.71,
F1-1,USA1226,u s air twelve twenty six turn left heading two eight zero intercept the localizer,4982.79,4985.57,
USA1226,F1-1,two eighty to join twelve twenty six,4985.81,4987.69,
F1-1,NERA3769,nera thirty seven sixty nine contact the tower one one niner point one,4991.81,4994.34,
F1-1,NWA34,northwest thirty four heavy you going to intercept just at loner maintain speed not less than one seven zero knots to ripit,4995.63,5000.15,
NWA34,F1-1,ah northwest thirty four heavy roger,5000.83,5002.67,
F1-1,NWA34,northwest thirty four heavy thank you traffic landing two two left to hold short of your runway contact the tower one one niner point one,5002.66,5007.03,
NWA34,F1-1,good night,5007.49,5008.02,
F1-1,NWA34,night,5008.11,5008.54,
F1-1,DAL210,delta two ten heavy turn left heading two eight zero intercept the localizer,5010.08,5012.77,
DAL210,F1-1,two eight zero intercept delta two ten,5012.82,5014.67,
PCN3513,F1-1,o k we have it in sight right now precision thirty five thirteen,5033.95,5036.37,
F1-1,PCN3513,very good ah cross ten d m e three thousand or above then v f r descent your discretion for two two left hold short of two seven,5036.39,5041.55,
PCN3513,F1-1,descent our discretion precision thirty five thirteen,5041.61,5043.82,
DAL210,F1-1,delta two ten roger cleared for approach,5050.33,5052.07,
USA190,F1-1,left three fifty out of five for two correction out of five for three thousand,5058.61,5063.44,
PCN3570,F1-1,out of five for three precision thirty five seventy with the field in sight,5067.17,5069.78,
GAA333,F1-1,triple three good night,5072.43,5073.34,
F1-1,PCN3513,precision thirty five thirteen one and seventy to the five d m e contact tower one one niner point one,5074.28,5078.02,
PCN3513,F1-1,nineteen one precision thirty five ah thirteen good day,5078.06,5080.35,
USA1226,F1-1,twelve twenty six good night,5086.09,5087.24,
F1-1,USA1226,see you later,5087.26,5087.69,
USA190,F1-1,u s air ten ah one ninety has the ten eleven,5088.27,5090.73,
F1-1,USA190,u s air one ninety thank you,5091.32,5092.27,
F1-1,TPS1110,trump eleven ten boston approach altimeter three zero zero eight,5101.49,5104.05,
TPS1110,F1-1,zero eight trump eleven ten,5104.75,5105.97,
F1-1,PCN3570,precision thirty five seventy follow the traffic cleared visual approach runway two two left to hold short of runway two seven,5111.48,5115.34,
PCN3570,F1-1,thirty five seventy cleared visual two two left,5115.97,5118.32,
F1-1,USA190,u s air one ninety turn left heading two niner zero intercept localizer,5128.68,5131.15,
USA190,F1-1,left two ninety intercept the localizer u s air one ninety,5131.27,5134.18,
DAL210,F1-1,slow to one seventy,5137.62,5138.73,
USA852,F1-1,u s eight fifty two level at five ah november good afternoon,5140.73,5144.06,
F1-1,USA852,u s eight fifty two good afternoon the altimeter three zero zero eight,5144.19,5146.95,
USA852,F1-1,ah double oh eight u s eight fifty two,5147.4,5148.9,
NWA4,F1-1,ah boston approach northwest four with you seven for six november,5159.99,5163.39,
F1-1,NWA4,northwest four boston approach altimeter three zero zero eight,5163.47,5166.2,
USA190,F1-1,cleared for the approach loner at three thousand or above u s one eight ninety,5181.06,5184.38,
F1-1,DAL210,delta two ten heavy a hundred and seventy all the way to ripit there will be traffic landing runway two two left to hold short of your runway contact tower one one niner point one,5184.39,5190.59,
DAL210,F1-1,delta two ten roger,5193.45,5194.35,
F1-1,TPS1110,trump eleven ten descend and maintain three thousand turn left heading three six zero,5194.91,5198.12,
TPS1110,F1-1,trump eleven ten down to ah three thousand heading three six zero,5198.38,5201.57,
F1-1,PCN3570,precision thirty five seventy contact tower one one niner point one,5203.89,5206.35,
F1-1,PCN3570,excuse me precision thirty five seventy contact the tower one one niner point one,5208.25,5211.13,
PCN3570,F1-1,one one niner point one precision thirty five seventy,5212.11,5214.19,
F1-1,USA190,u s air one ninety reduce speed to one seven zero for spacing behind the heavy,5218.83,5221.63,
USA190,F1-1,slow to one seventy u s air one ninety,5222.11,5224.2,
F1-1,TPS1110,trump eleven ten turn left heading three four zero,5233.29,5235.3,
TPS1110,F1-1,heading three four zero trump eleven ten,5235.69,5237.45,
F1-1,USA852,u s air eight fifty two reduce speed to two one zero,5246.9,5248.91,
DAL378,F1-1,delta three seventy eight six for five,5271.09,5273.02,
F1-1,DAL378,delta three seventy eight approach altimeter three zero zero eight,5273.56,5276.06,
F1-1,USA852,u s air eight fifty two fly heading three six zero,5277.34,5279.41,
USA852,F1-1,three sixty u s eight fifty two,5279.74,5281.26,
GAA419,F1-1,approach bizex four nineteen six thousand,5282.64,5284.76,
F1-1,GAA419,bizex four nineteen approach descend and maintain four thousand altimeter three zero zero eight,5284.85,5288.29,
GAA419,F1-1,out of six thousand for four thousand three zero zero eight bizex four nineteen,5289.29,5293.26,
F1-1,USA190,u s air one ninety traffic landing two two left to hold short of your runway maintain a hundred and seventy knots to ripit contact the tower one one niner point one,5293.2,5299.15,
USA190,F1-1,one nineteen point one one seventy to ripit,5299.98,5301.85,
USA852,F1-1,three thousand u s air eight fifty two,5314.95,5316.39,
NWA4,F1-1,o k straight ahead now for two seven down to four leaving six northwest four,5320.09,5325.1,
PEM3498,F1-1,approach pem thirty four ninety eight is with you descending to four thousand field in sight,5328.92,5332.26,
F1-1,PEM3498,pem air thirty four ninety eight proceed direct to runway two two left cleared visual approach keep up your speed,5332.22,5336.07,
F1-1,GAA419,bizex four sixteen reduce speed to one niner zero,5345.55,5347.54,controller misstates aircraft id
F1-1,GAA419,excuse me bizex four nineteen reduce speed to ah one niner zero,5349.78,5352.43,
GAA419,F1-1,reduce to one nine zero bizex four nineteen,5352.42,5354.63,
F1-1,NWA4,northwest four turn left heading one zero zero,5354.65,5356.41,
NWA4,F1-1,one zero zero northwest four,5356.62,5358.42,
F1-1,TPS1110,trump eleven ten reduce speed to one seven zero and plan to hold that speed all the way to ripit,5358.39,5361.4,
TPS1110,F1-1,one seventy to ripit trump eleven ten,5362.56,5364.31,
F1-1,TPS1110,thanks,5364.32,5364.68,
F1-1,GAA419,yes sir one ninety on the speed please,5371.62,5372.93,
USA852,F1-1,two ninety heading loner three thousand or above u s ah eight fifty two thank you,5381.34,5385.42,
F1-1,GAA419,bizex four nineteen descend and maintain three thousand,5393.95,5395.92,
GAA419,F1-1,descend to three thousand bizex four nineteen,5397.95,5399.92,
F1-1,TPS1110,trump eleven ten traffic landing two two left to hold short of your runway hundred and seventy to ripit contact the tower one one niner point one,5413.79,5418.6,
TPS1110,F1-1,a hundred and seventy to ripit going over to the tower trump eleven ten,5419.02,5421.41,
NWA1164,F1-1,northwest eleven sixty four is out of five point three for five thousand slowing to two hundred and ten,5423.65,5428.14,
NWA1164,F1-1,northwest eleven sixty four roger,5428.46,5429.85,
F1-1,PEM3498,pem air thirty four ninety eight contact tower one one niner point one,5431.46,5433.85,
PEM3498,F1-1,nineteen one thirty four ninety eight good day,5433.96,5435.55,
F1-1,DAL378,delta three seventy eight turn left heading three six zero descend and maintain ah four thousand,5444.94,5449.44,
DAL378,F1-1,three sixty five for four three seventy eight,5449.99,5452.26,
F1-1,NWA4,northwest four turn right heading one eight zero descend and maintain three thousand,5480.61,5483.49,
NWA4,F1-1,one eight zero four for three northwest four,5483.85,5486.57,
F1-1,USA852,u s air eight fifty two traffic landing runway two two left to hold short of your runway maintain speed not less than one seven zero knots all the way to ripit please,5493.03,5498.7,
USA852,F1-1,u s air eight fifty two wilco,5498.72,5500.14,
F1-1,NWA4,northwest four turn right heading two five zero intercept localizer,5500.61,5503.11,
NWA4,F1-1,two five zero intercept northwest four,5504.51,5506.19,
F1-1,GAA419,bizex four nineteen contact tower one one niner point one,5532.01,5534.31,
GAA419,F1-1,nineteen one bizex four nineteen,5534.41,5535.9,
F1-1,DAL378,delta three seventy eight turn left heading two eight zero intercept localizer,5544.74,5547.29,
DAL378,F1-1,two eighty intercept delta three seventy eight,5547.36,5549.34,
F1-1,NWA1164,northwest eleven sixty four turn left heading three six zero,5549.3,5551.57,
NWA1164,F1-1,left heading three sixty northwest eleven sixty four,5552.21,5554.54,
F1-1,USA852,u s eight fifty two contact tower now one one niner point one,5563.65,5566.15,
F1-1,NWA1164,northwest eleven sixty four descend and maintain four thousand,5587.66,5590.02,
NWA1164,F1-1,down to four thousand northwest eleven sixty four,5590.94,5593.02,
F1-1,DAL378,delta three seventy eight descend and maintain three thousand,5593.75,5595.84,
DAL378,F1-1,cleared to three delta three seventy eight,5596.2,5597.91,
NWA4,F1-1,cleared approach two seven i l s d m e northwest four thank you,5602.3,5604.56,
F1-1,NWA1164,northwest eleven sixty four turn left heading two niner zero intercept localizer,5623.74,5626.72,
NWA1164,F1-1,left two ninety for the intercept northwest eleven sixty four,5627.04,5629.6,
F1-1,NWA4,northwest four traffic landing runway two two left to hold short of your runway maintain speed not less than one seven zero knots all the way to ripit contact tower one one niner point one,5642.92,5649.54,
NWA4,F1-1,one seventy to ripit nineteen one so long northwest four,5649.76,5652.33,
F1-1,NWA4,later,5652.41,5652.71,
DAL492,F1-1,boston delta four ninety two five thousand,5656.01,5658.23,
F1-1,DAL492,delta four ninety two approach altimeter three zero zero eight,5658.52,5660.99,
